,Canal_id,year,Canal_name,Sample_water_point,TEMP. (oC),  pH,DO (mg/l),H2S (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),TKN (mg/l),NH3N (mg/l),NO2 (mg/l),NO3 (mg/l),T-P (mg/l),T.Coliform (col/100ml),Sample_water_point (EN),Canal_name (EN)
28,92,2561,คลองแสนแสบ,ปตร.แสนแสบ (ถ.เพชรบุรี ซ.ประสานมิตร),28.00,7.40,2.10,0.00,9.00,62.00,56.00,6.70,1.20,0.02,1.80,0.50,4.30E+07,"Saen Saep Police Station (Phetchaburi Road, Soi Prasarnmit)",Khlong Saen Saep
29,93,2561,คลองแสนแสบ,ซอยเทพลีลา,28.00,7.40,0.20,0.00,11.00,57.00,36.00,6.70,1.10,0.02,1.90,0.60,1.20E+10,Soi Theplila,Khlong Saen Saep
30,94,2561,คลองแสนแสบ,สะพานบางกะปิ,28.00,7.40,0.20,0.00,11.00,60.00,33.00,5.60,1.50,0.03,1.90,0.60,4.30E+09,Bang Kapi Bridge,Khlong Saen Saep
31,95,2561,คลองแสนแสบ,วัดบำเพ็ญเหนือ,27.00,7.30,0.70,0.00,5.00,53.00,26.00,3.90,0.80,0.00,2.10,0.30,2.80E+05,Wat Bamphen Nuea,Khlong Saen Saep
32,96,2561,คลองแสนแสบ,มีนบุรี  (รร.สตรีวิทยามีนบุรี),27.00,7.30,1.20,0.00,5.00,42.00,29.00,4.50,1.10,0.00,2.20,0.30,1.10E+07,Minburi (Satri Witthaya Minburi School),Khlong Saen Saep
33,97,2561,คลองแสนแสบ,ปตร.แสนแสบ (ของกรมชลประทาน),27.00,7.30,2.00,0.00,4.00,40.00,37.00,2.80,0.30,0.00,2.50,0.30,4.00E+04,Saen Saep Police Station (of the Royal Irrigation Department),Khlong Saen Saep
34,98,2561,คลองแสนแสบ,สะพานประตูน้ำเวิลเทรดเซ็นเตอร์,28.00,7.40,1.00,0.00,6.00,57.00,30.00,4.50,1.10,0.01,1.10,0.40,9.00E+06,Pratunam World Trade Center Bridge,Khlong Saen Saep
35,99,2561,คลองแสนแสบ,ถนนเลียบวารี,27.00,7.30,2.80,0.00,4.00,33.00,67.00,2.20,0.60,0.04,3.30,0.20,2.30E+05,Along Waree Road,Khlong Saen Saep
36,99.1,2561,คลองแสนแสบ,ถ.สังฆสันติสุข ซ.โรงเรียนสุเหร่าใหม่,27.00,7.40,2.30,0.00,4.00,30.00,93.00,2.80,0.60,0.01,1.70,0.10,2.10E+05,Sangkhasantisuk Rd. Soi New Mosque School,Khlong Saen Saep
37,101,2561,คลองตัน,ปตร. คลองตัน,30.00,7.70,0.00,0.30,20.00,66.00,19.00,17.90,11.80,0.01,1.50,1.10,2.30E+09,Khlong Tan Police Station,Khlong Tan
38,112,2561,คลองเปรมประชากร,สี่แยกสะพานแดง,29.00,7.40,0.00,0.30,11.00,41.00,11.00,7.80,2.20,0.00,1.50,0.80,9.30E+09,Saphan Daeng Intersection,Khlong Prem Prachakorn
39,113,2561,คลองเปรมประชากร,ตลาดบางซื่อ,29.00,7.40,0.00,0.20,11.00,54.00,8.00,7.80,2.20,0.00,1.50,0.90,2.40E+10,Bang Sue Market,Khlong Prem Prachakorn
40,114,2561,คลองเปรมประชากร,ทัณฑสถานวัยหนุ่ม (ถ.งามวงศ์วาน),29.00,7.40,0.00,1.50,26.00,89.00,26.00,14.60,5.60,0.01,2.80,1.30,4.60E+10,Youth Correctional Institution (Ngamwongwan Rd.),Khlong Prem Prachakorn
41,115,2561,คลองเปรมประชากร,เทศบาลสงเคราะห์(วัดเสมียนนารี),29.00,7.50,0.00,0.70,13.00,68.00,18.00,11.20,4.50,0.01,1.70,1.10,1.10E+11,Municipal Songkroh (Wat Samian Nari),Khlong Prem Prachakorn
42,116,2561,คลองเปรมประชากร,ถนนเศรษฐศิริ(สะพานเกษะโกมล),29.00,7.40,0.00,0.10,11.00,70.00,15.00,7.30,3.20,0.00,1.60,0.90,1.10E+09,Setthasiri Road (Kesakomol Bridge),Khlong Prem Prachakorn
43,117,2561,คลองเปรมประชากร,ถนนศรีอยุธยา(วัดเบญจมบพิตร),29.00,7.50,1.00,0.00,7.00,75.00,28.00,0.60,0.30,0.14,1.70,0.30,2.30E+07,Sri Ayutthaya Road (Wat Benchamabophit),Khlong Prem Prachakorn
44,118,2561,คลองเปรมประชากร,ถนนแจ้งวัฒนะ,29.00,7.40,0.00,0.30,14.00,68.00,12.00,8.40,2.20,0.00,1.80,0.80,2.40E+10,Chaengwattana Road,Khlong Prem Prachakorn
45,119,2561,คลองเปรมประชากร,ถนนเตชะคุงคะ ใกล้ สน.ดอนเมือง,29.00,7.40,0.50,0.00,11.00,63.00,17.00,8.40,2.50,0.00,1.80,0.70,1.10E+09,"Techakungka Road, near Don Mueang Police Station",Khlong Prem Prachakorn
46,121,2561,คลองบางซื่อ,สะพานพิบูลย์สงคราม (ถ.ประชาราษฎร์ สาย 1),28.00,7.40,1.60,0.00,6.00,40.00,18.00,1.70,0.60,0.12,1.90,0.20,2.30E+07,"Phibunsongkhram Bridge (Pracharat Road, Sai 1)",Khlong Bang Sue
47,122,2561,คลองบางซื่อ,ถนนพหลโยธิน,28.00,7.40,0.60,0.00,9.00,72.00,3.00,3.90,2.20,0.00,1.30,0.90,2.30E+09,Phahonyothin Road,Khlong Bang Sue
48,123,2561,คลองบางซื่อ,ถนนรัชดาภิเษก (รร.เจ้าพระยาปาร์ค),28.00,7.40,0.70,0.00,10.00,65.00,7.00,5.00,2.20,0.00,1.20,0.80,1.50E+10,Ratchadaphisek Road (Chao Phraya Park School),Khlong Bang Sue
49,131,2561,คลองสาธร,ปตร. สาธร,28.00,7.00,0.80,0.00,8.00,58.00,3.00,1.10,0.30,0.00,1.30,0.60,2.30E+11,Sathorn Police Station,Khlong Sathorn
50,132,2561,คลองสาธร,สถานทูตซาอุดิอาระเบีย,28.00,7.30,0.00,0.30,21.00,90.00,61.00,10.10,5.60,0.02,2.10,1.40,4.30E+11,Saudi Arabia Embassy,Khlong Sathorn
51,133,2561,คลองสาธร,ติดถนนพระราม 4 ใกล้สะพาน-เบลเยี่ยม,28.00,7.40,0.00,0.40,23.00,93.00,61.00,13.40,8.40,0.01,2.20,1.40,2.30E+11,"Next to Rama 4 Road, near the bridge - Belgium.",Khlong Sathorn
52,141,2561,คลองช่องนนทรี,ถนนนราธิวาสราชนครินทร์,28.00,7.30,1.10,0.00,6.00,43.00,10.00,1.10,0.60,0.11,1.80,0.40,9.30E+11,Narathiwat Ratchanakarin Road,Khlong Chong Nonsi
53,142,2561,คลองช่องนนทรี,ถนนนราธิวาสราชนครินทร์ตัดแยก ถ.จันทร์,28.00,7.40,0.70,0.00,9.00,72.00,13.00,0.60,0.00,0.10,1.20,0.50,2.40E+12,Narathiwat Ratchanakarin Road intersects with Chan Road.,Khlong Chong Nonsi
54,143,2561,คลองช่องนนทรี,ก่อนแยกสาธร,28.00,7.40,1.10,0.00,7.00,66.00,14.00,1.20,0.80,0.12,1.20,0.50,4.60E+10,Before Sathorn Intersection,Khlong Chong Nonsi
55,144,2561,คลองช่องนนทรี,ตัดถนนสีลม,28.00,7.30,0.00,0.40,38.00,83.00,6.00,15.70,5.60,0.00,2.30,1.90,1.10E+11,Intersecting Silom Road,Khlong Chong Nonsi
56,145,2561,คลองช่องนนทรี,ตัดถนนสุรวงศ์,28.00,7.20,0.00,0.30,38.00,87.00,9.00,16.80,5.60,0.00,2.50,2.30,2.40E+12,Surawong Road intersection,Khlong Chong Nonsi
57,146,2561,คลองช่องนนทรี,หน้าโรงงานควบคุมคุณภาพน้ำช่องนนทรี,28.00,7.30,1.40,0.00,5.00,40.00,26.00,6.20,2.20,0.09,1.90,0.50,2.40E+12,In front of the Chong Nonsi Water Quality Control Factory,Khlong Chong Nonsi
58,151,2561,คลองบางไส้ไก่,ถนนเจริญนคร,27.00,7.00,0.00,1.50,29.00,83.00,18.00,15.10,9.80,0.02,2.20,1.90,1.50E+13,Charoen Nakhon Road,Khlong Bang Sai Kai
59,152,2561,คลองบางไส้ไก่,ถนนตากสิน,27.00,7.00,0.00,1.50,32.00,92.00,25.00,12.90,5.60,0.03,2.10,1.70,4.60E+14,Taksin Road,Khlong Bang Sai Kai
60,161,2561,คลองสมเด็จเจ้าพระยา,สะพานท่าดินแดง,27.00,7.10,0.00,1.00,27.00,87.00,24.00,11.20,5.60,0.01,2.20,1.70,1.10E+15,Tha Din Daeng Bridge,Somdej Chao Phraya Canal
61,162,2561,คลองสมเด็จเจ้าพระยา,หน้าโรงพยาบาลสมเด็จเจ้าพระยา,27.00,7.10,0.00,0.60,17.00,79.00,18.00,3.40,1.50,0.01,1.60,1.40,2.40E+14,In front of Somdej Chao Phraya Hospital,Somdej Chao Phraya Canal
62,171,2561,คลองห้วยขวาง,ชุมชนห้วยขวาง,28.00,7.10,0.00,0.80,26.00,72.00,6.00,11.20,4.20,0.01,2.10,1.40,2.30E+11,Huai Khwang Community,Huai Khwang Canal
63,173,2561,คลองห้วยขวาง,ถนนสุทธิสารวินิจฉัย,28.00,7.30,0.00,0.40,23.00,70.00,5.00,8.40,4.50,0.01,2.20,1.40,4.30E+11,Sutthisan Winitchai Road,Huai Khwang Canal
64,174,2561,คลองห้วยขวาง,ถนนรัชดาภิเษก,28.00,7.40,0.00,0.40,20.00,83.00,16.00,9.00,3.20,0.02,2.10,1.30,9.30E+11,Ratchadaphisek Road,Huai Khwang Canal
65,175,2561,คลองห้วยขวาง,ถนนวัฒนธรรม ใกล้สถานฑูตเกาหลี,28.00,7.40,0.00,0.10,22.00,90.00,2.00,9.50,3.40,0.02,2.00,1.40,2.30E+11,Cultural Street near the Korean Embassy,Huai Khwang Canal
66,180,2561,คลองลาดพร้าว,สน.วังทองหลาง,29.00,7.20,0.00,0.30,19.00,72.00,88.00,11.80,3.10,0.00,2.10,0.90,1.10E+09,Wang Thonglang Police Station,Khlong Lat Phrao
67,181,2561,คลองลาดพร้าว,ถนนประชาอุทิศ,28.00,7.50,0.80,0.00,10.00,52.00,3.00,10.10,2.20,0.00,1.70,0.90,2.40E+12,Pracha Uthit Road,Khlong Lat Phrao
68,182,2561,คลองลาดพร้าว,ร.ร.พิบูลย์อุปถัมภ์  (ถนนลาดพร้าว),28.00,7.50,0.80,0.00,10.00,55.00,8.00,8.40,3.20,0.00,1.40,1.20,4.60E+12,Phibun Uppatham School  (Lat Phrao Road),Khlong Lat Phrao
69,183,2561,คลองลาดพร้าว,วัดบางบัว,28.00,7.40,1.30,0.00,15.00,58.00,35.00,4.50,1.80,0.01,1.40,0.60,2.40E+12,Bang Bua Temple,Khlong Lat Phrao
70,184,2561,คลองลาดพร้าว,ถนนเกษตร - นวมินทร์,28.00,7.50,1.80,0.00,6.00,44.00,14.00,3.90,1.10,0.00,1.30,0.70,2.40E+12,Kaset - Nawamin Road,Khlong Lat Phrao
71,191,2561,คลองบางน้ำชน,ถนนเจริญนคร,27.00,7.10,0.00,1.00,52.00,113.00,26.00,12.90,4.50,0.04,2.20,1.80,4.60E+12,Charoen Nakhon Road,Khlong Bang Nam Chon
72,192,2561,คลองบางน้ำชน,ถนนพระเจ้าตากสิน,29.00,8.10,2.00,0.00,23.00,91.00,14.00,3.90,2.20,0.00,1.70,0.50,2.40E+10,Phra Chao Taksin Road,Khlong Bang Nam Chon
73,201,2561,คลองดาวคะนอง,ถนนเจริญนคร,28.00,7.10,1.90,0.00,5.00,61.00,6.00,3.90,1.20,0.27,1.70,0.30,4.60E+05,Charoen Nakhon Road,Khlong Dao Khanong
74,202,2561,คลองดาวคะนอง,ถ.พระเจ้าตากสิน หลังโรงเก็บขนมูลฝอย,28.00,7.20,1.50,0.00,5.00,64.00,7.00,1.70,0.60,0.48,1.80,0.20,1.10E+06,Phrachao Taksin Rd. Behind the garbage storage shed,Khlong Dao Khanong
75,211,2561,คลองบางขุนเทียน,ท่าน้ำวัดบางขุนเทียนนอก(ถ.จอมทอง 19),29.00,7.40,1.10,0.00,5.00,41.00,11.00,1.70,0.60,0.01,1.70,0.50,1.50E+06,Bang Khun Thian Nok Temple Pier (Chom Thong Road 19),Khlong Bang Khun Thian
76,212,2561,คลองบางขุนเทียน,ถนนพระรามที่ 2,29.00,7.40,2.10,0.00,7.00,28.00,15.00,1.70,0.60,0.00,1.70,0.60,4.60E+06,Rama 2 Road,Khlong Bang Khun Thian
77,221,2561,คลองภาษีเจริญ,ร.ร.วัดรางบัว  (ถ.เพชรเกษม 33),29.00,7.20,2.80,0.00,5.00,57.00,6.00,3.90,1.20,0.02,1.80,0.30,9.00E+06,Wat Rang Bua School (Phetkasem Road 33),Khlong Phasi Charoen
78,222,2561,คลองภาษีเจริญ,ถนนมาเจริญ  (ถนนเพชรเกษม 81),29.00,7.40,2.40,0.00,5.00,50.00,2.00,3.40,1.20,0.22,2.90,0.80,2.30E+07,Macharoen Road (Petchkasem Road 81),Khlong Phasi Charoen
79,231,2561,คลองอ้อมนนท์,ท่าน้ำวัดโตนด,29.00,6.90,2.30,0.00,4.00,43.00,55.00,3.90,0.80,0.00,2.10,0.20,4.00E+06,Wat Tanot Pier,Khlong Om Non
80,232,2561,คลองอ้อมนนท์,ท่าน้ำวัดประชารังสรรค์,29.00,7.10,2.50,0.00,5.00,40.00,46.00,3.40,1.20,0.13,2.40,0.20,2.30E+07,Wat Pracharangsan pier,Khlong Om Non
81,241,2561,คลองบางละมุด,ตรงข้าม รร.เทคโนโลยีพระรามหก),29.00,6.70,0.40,0.00,4.00,32.00,8.00,7.30,4.50,0.00,1.00,0.60,2.10E+08,Opposite Rama VI Technology School),Khlong Bang Lamut
82,251,2561,คลองมอญ,ถนนอรุณอัมรินทร์,29.00,7.10,2.60,0.00,5.00,45.00,23.00,2.20,1.70,0.10,2.00,0.20,2.10E+08,Arun Amarin Road,Khlong Mon
83,252,2561,คลองมอญ,ถนนจรัญสนิทวงค์,29.00,7.40,2.70,0.00,6.00,56.00,24.00,2.20,1.70,0.08,1.90,0.20,1.10E+09,Charansanitwong Road,Khlong Mon
84,261,2561,คลองบางกอกน้อย,ถนนอรุณอัมรินทร์,29.00,7.50,2.60,0.00,4.00,49.00,40.00,1.10,0.60,0.03,2.00,0.20,2.80E+05,Arun Amarin Road,Bangkok Noi Canal
85,262,2561,คลองบางกอกน้อย,ท่าน้ำวัดสุวรรณาราม,29.00,7.50,2.80,0.00,4.00,47.00,43.00,1.10,0.60,0.03,2.00,0.20,1.50E+06,Suwannaram Temple Pier,Bangkok Noi Canal
86,263,2561,คลองบางกอกน้อย,ทำน้ำวัดชลอ (ถ.บางกรวย-ไทรน้อย),29.00,7.30,1.20,0.00,4.00,52.00,37.00,2.80,1.20,0.36,2.20,0.30,1.50E+08,Make water at Wat Chalo (Bang Kruai-Sai Noi Rd.),Bangkok Noi Canal
87,264,2561,คลองบางกอกน้อย,ซอยร่วมวงศ์พัฒนา (ถ.บางกรวย-ไทรน้อย),29.00,7.40,1.40,0.00,5.00,44.00,30.00,2.20,0.80,0.51,2.30,0.30,2.30E+07,Soi Ruamwong Phatthana (Bang Kruai-Sai Noi Rd.),Bangkok Noi Canal
88,265,2561,คลองบางกอกน้อย,ท่าน้ำวัดอุทยาน (ถ.บางกรวย-จงถนอม),29.00,7.40,1.60,0.00,5.00,37.00,18.00,2.80,0.80,0.06,2.10,0.40,4.30E+07,Wat Utthayan pier (Bang Kruai-Jongthanom Rd.),Bangkok Noi Canal
89,271,2561,คลองพระโขนง,ปตร. พระโขนง,30.00,7.70,0.50,0.00,11.00,45.00,10.00,10.60,9.00,0.01,1.50,1.10,2.30E+07,Phra Khanong Police Station,Khlong Phra Khanong
90,272,2561,คลองพระโขนง,สะพานพระโขนง  (ถนนสุขุมวิท),30.00,7.70,0.30,0.00,9.00,58.00,8.00,6.70,3.20,0.00,1.50,1.00,4.30E+07,Phra Khanong Bridge (Sukhumvit Road),Khlong Phra Khanong
91,281,2561,คลองบางนา,หน้ากรมอุตุนิยมวิทยา  (ถนนสุขุมวิท),28.00,5.80,0.00,1.30,14.00,61.00,18.00,13.40,5.60,0.01,2.70,1.40,1.10E+11,Meteorological Department page  (Sukhumvit Road),Khlong Bangna
92,282,2561,คลองบางนา,สะพานบางนา  (ถนนศรีนครินทร์),28.00,7.60,0.00,1.20,16.00,73.00,19.00,9.50,4.50,0.01,2.80,1.30,9.30E+11,Bangna Bridge (Srinakarin Road),Khlong Bangna
93,291,2561,คลองสำเหร่,ถนนเจริญนคร,27.00,7.10,0.00,0.80,22.00,72.00,12.00,9.50,3.10,0.02,1.90,1.50,4.30E+13,Charoen Nakhon Road,Khlong Samre
94,292,2561,คลองสำเหร่,ถนนเทอดไทย,29.00,7.50,1.20,0.00,7.00,46.00,15.00,2.20,0.60,0.05,1.60,0.40,4.60E+06,Theot Thai Road,Khlong Samre
95,301,2561,คลองไผ่สิงโต,ตลาดคลองเตย,28.00,7.10,0.00,1.10,56.00,116.00,20.00,22.40,14.00,0.00,2.40,2.20,1.10E+15,Khlong Toei Market,Khlong Phai Singto
96,303,2561,คลองไผ่สิงโต,ข้างโรงงานยาสูบ,28.00,7.20,0.00,0.80,35.00,95.00,12.00,15.10,1.90,0.00,1.90,1.80,1.10E+15,Next to the tobacco factory,Khlong Phai Singto
97,311,2561,คลองแจงร้อน,ถนนราษฎร์บูรณะ,28.00,7.20,0.60,0.00,17.00,81.00,14.00,7.80,2.50,0.00,1.50,1.10,1.10E+11,Ratburana Road,Khlong Chaeng Ron
98,312,2561,คลองแจงร้อน,ถนนสุขสวัสดิ์,28.00,7.30,0.00,0.50,14.00,66.00,13.00,8.40,3.10,0.00,1.50,1.20,1.10E+11,Suksawat Road,Khlong Chaeng Ron
99,321,2561,คลองราษฎร์บูรณะ,ถนนราษฎร์บูรณะ,28.00,7.40,2.00,0.00,8.00,46.00,6.00,2.20,0.90,0.40,2.00,0.20,4.30E+07,Ratburana Road,Khlong Ratburana
100,322,2561,คลองราษฎร์บูรณะ,ถนนสุขสวัสดิ์,28.00,7.40,2.40,0.00,6.00,63.00,7.00,1.10,0.60,0.43,1.90,0.20,9.30E+07,Suksawat Road,Khlong Ratburana
101,331,2561,คลองบางปะกอก,ถนนราษฎร์บูรณะ,28.00,7.20,0.00,0.30,16.00,66.00,12.00,9.50,4.50,0.01,1.50,0.80,1.10E+11,Ratburana Road,Bang Pakok Canal
102,332,2561,คลองบางปะกอก,ถนนสุขสวัสดิ์,28.00,7.20,0.00,0.40,16.00,66.00,12.00,6.20,4.50,0.01,1.60,0.90,1.10E+11,Suksawat Road,Bang Pakok Canal
103,341,2561,คลองบางปะแก้ว,ถนนราษฎร์บูรณะ,28.00,7.30,2.40,0.00,5.00,64.00,14.00,5.00,2.50,0.00,1.60,0.60,7.00E+06,Ratburana Road,Bang Pakaeo Canal
104,342,2561,คลองบางปะแก้ว,ถนนสุขสวัสดิ์,28.00,7.30,2.00,0.00,9.00,59.00,18.00,7.30,3.20,0.00,1.60,0.80,2.30E+07,Suksawat Road,Bang Pakaeo Canal
105,351,2561,,โรงสูบน้ำพระราม 4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00E+00,Rama 4 Water Pumping Plant,#VALUE!
106,371,2561,คลองสำโรง,สะพานสำโรง  (ถนนศรีนครินทร์),28.00,7.60,0.00,0.40,14.00,92.00,18.00,15.10,3.20,0.01,2.80,1.60,4.30E+09,Samrong Bridge (Srinakarin Road),Khlong Samrong
107,381,2561,คลองประปา,ในเขื่อนตลาดบางซื่อตัดกับคลองเปรม,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00E+00,In the Bang Sue Market Dam intersecting with Khlong Prem.,Khlong Prapa
108,382,2561,คลองประปา,นอกเขื่อนตัดกับถนนแจ้งวัฒนะ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00E+00,Outside the dam intersecting with Chaengwattana Road.,Khlong Prapa
109,391,2561,คลองบางกอกใหญ่,ถนนเพชรเกษม,29.00,7.40,1.80,0.00,5.00,63.00,12.00,2.20,0.60,0.04,1.80,0.30,4.60E+06,Phetkasem Road,Bangkok Yai Canal
110,392,2561,คลองบางกอกใหญ่,ร.ร.พาณิชยการธนบุรี,29.00,7.40,1.10,0.00,6.00,59.00,45.00,2.80,0.30,0.00,1.90,0.40,1.50E+06,Thonburi Commercial School,Bangkok Yai Canal
111,393,2561,คลองบางกอกใหญ่,วัดช่างเหล็ก,29.00,7.40,1.00,0.00,5.00,53.00,12.00,3.40,1.20,0.00,1.90,0.40,4.60E+06,Changlek Temple,Bangkok Yai Canal
112,394,2561,คลองบางกอกใหญ่,บางขุนนนท์,29.00,7.60,2.20,0.00,5.00,46.00,19.00,2.20,0.60,0.08,2.00,0.10,9.30E+05,Bang Khun Non,Bangkok Yai Canal
113,395,2561,คลองบางกอกใหญ่,สะพานเจริญพาสน์,29.00,7.50,2.80,0.00,6.00,65.00,19.00,1.10,0.60,0.09,2.00,0.20,1.50E+05,Charoenpas Bridge,Bangkok Yai Canal
