Unnamed: 0,Canal_id,year,Canal_name,Sample_water_point,TEMP. (oC),  pH,DO (mg/l),H2S (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),TKN (mg/l),NH3N (mg/l),NO2 (mg/l),NO3 (mg/l),T-P (mg/l),T.Coliform (col/100ml),Sample_water_point (EN),Canal_name (EN),Latitude,Longitude
11,51.0,2561,คลองรอบกรุง,ปตร. โอ่งอ่าง,25.0,7.5,2.6,0.0,5.0,61.0,48.0,2.2,1.1,0.01,2.1,0.1,3000000.0,Police Station Ong Ang,Khlong Rob Krung,,
12,52.0,2561,คลองรอบกรุง,สะพานดำรงสถิต  (ถนนเจริญกรุง),25.0,7.4,0.0,0.1,23.0,82.0,93.0,12.9,8.4,0.02,1.4,1.3,2400000000.0,Damrongsathit Bridge  (Charoen Krung Road),Khlong Rob Krung,,
13,53.0,2561,คลองรอบกรุง,สะพานสมมตอมรมารค (ถนนบำรุงเมือง),25.0,7.4,0.0,0.2,16.0,63.0,25.0,6.7,3.1,0.0,1.4,1.0,24000000000.0,Somtom Amonmark Bridge (Bamrung Mueang Road),Khlong Rob Krung,,
14,61.0,2561,คลองมหานาค,สะพานดำรัส,29.0,7.4,2.1,0.0,6.0,52.0,42.0,4.5,2.5,0.18,1.1,0.4,900000000.0,Damrat Bridge,Mahanak Canal,,
15,62.0,2561,คลองมหานาค,สะพานเจริญราษฎร์,29.0,7.4,1.7,0.0,6.0,50.0,67.0,4.5,2.5,0.07,1.1,0.5,4300000000.0,Charoen Rat Bridge,Mahanak Canal,,
16,63.0,2561,คลองมหานาค,เจริญผล,29.0,7.5,1.3,0.0,6.0,39.0,26.0,4.5,2.1,0.01,1.0,0.5,23000000.0,flourish,Mahanak Canal,,
17,72.0,2561,คลองผดุงกรุงเกษม,สถานีสูบน้ำกรุงเกษม,29.0,7.4,1.4,0.0,9.0,62.0,22.0,4.5,0.9,0.0,1.0,0.6,2100000000.0,Krung Kasem Pumping Station,Khlong Phadung Krung Kasem,13.758451025460300,100.51469202709700
18,73.0,2561,คลองผดุงกรุงเกษม,สถานีรถไฟกรุงเทพ,29.0,7.4,1.0,0.0,7.0,61.0,11.0,3.9,0.6,0.0,1.0,0.4,110000000000.0,Bangkok Railway Station,Khlong Phadung Krung Kasem,13.758451025460300,100.51469202709700
19,74.0,2561,คลองผดุงกรุงเกษม,หน้ากรมวิเทศสหการ,29.0,7.4,2.1,0.0,4.0,63.0,32.0,2.8,0.9,0.0,1.6,0.3,46000000000.0,Department of Mutual Affairs page,Khlong Phadung Krung Kasem,13.758451025460300,100.51469202709700
20,75.0,2561,คลองผดุงกรุงเกษม,ตลาดเทวราช,29.0,7.4,4.5,0.0,5.0,54.0,26.0,2.2,0.3,0.0,2.0,0.1,23000000.0,Thewarat Market,Khlong Phadung Krung Kasem,13.758451025460300,100.51469202709700
21,76.0,2561,คลองผดุงกรุงเกษม,ปตร. เทเวศน์,29.0,7.4,3.1,0.0,5.0,49.0,21.0,1.7,0.3,0.0,1.9,0.1,2400000000000.0,Police Station Thewet,Khlong Phadung Krung Kasem,13.758451025460300,100.51469202709700
22,81.0,2561,คลองสามเสน,ปตร. สามเสน,28.0,7.5,1.6,0.0,5.0,36.0,16.0,1.1,0.6,0.22,1.9,0.2,4000000.0,Samsen Police Station,Khlong Samsen,13.784915972259100,100.50824894184100
23,82.0,2561,คลองสามเสน,วัดโบสถ์,28.0,7.4,1.5,0.0,6.0,36.0,12.0,1.7,0.6,0.19,1.8,0.1,4000000.0,Wat Bosat,Khlong Samsen,13.784915972259100,100.50824894184100
24,83.0,2561,คลองสามเสน,อนุสาวรีย์ชัยสมรภูมิ,28.0,7.4,1.3,0.0,7.0,42.0,11.0,1.1,0.6,0.0,1.1,0.6,7000000.0,Victory Monument,Khlong Samsen,13.784915972259100,100.50824894184100
25,85.0,2561,คลองสามเสน,หลังแฟลตดินแดง,28.0,7.3,1.1,0.0,7.0,42.0,11.0,1.1,0.6,0.0,1.1,0.6,43000000.0,behind Din Daeng flats,Khlong Samsen,13.784915972259100,100.50824894184100
26,90.0,2561,คลองแสนแสบ,ตลาดหนองจอก,27.0,7.3,1.6,0.0,4.0,48.0,79.0,2.8,0.0,0.0,2.8,0.2,140000.0,Nong Chok Market,Khlong Saen Saep,13.8552097,100.8274538
27,91.0,2561,คลองแสนแสบ,ถนนอโศกดินแดง,28.0,7.3,2.4,0.0,11.0,63.0,77.0,7.8,1.1,0.02,1.8,0.5,230000000000.0,Asoke Din Daeng Road,Khlong Saen Saep,13.8552097,100.8274538
28,92.0,2561,คลองแสนแสบ,ปตร.แสนแสบ (ถ.เพชรบุรี ซ.ประสานมิตร),28.0,7.4,2.1,0.0,9.0,62.0,56.0,6.7,1.2,0.02,1.8,0.5,43000000.0,"Saen Saep Police Station (Phetchaburi Road, Soi Prasarnmit)",Khlong Saen Saep,13.8552097,100.8274538
29,93.0,2561,คลองแสนแสบ,ซอยเทพลีลา,28.0,7.4,0.2,0.0,11.0,57.0,36.0,6.7,1.1,0.02,1.9,0.6,12000000000.0,Soi Theplila,Khlong Saen Saep,13.8552097,100.8274538
30,94.0,2561,คลองแสนแสบ,สะพานบางกะปิ,28.0,7.4,0.2,0.0,11.0,60.0,33.0,5.6,1.5,0.03,1.9,0.6,4300000000.0,Bang Kapi Bridge,Khlong Saen Saep,13.8552097,100.8274538
31,95.0,2561,คลองแสนแสบ,วัดบำเพ็ญเหนือ,27.0,7.3,0.7,0.0,5.0,53.0,26.0,3.9,0.8,0.0,2.1,0.3,280000.0,Wat Bamphen Nuea,Khlong Saen Saep,13.8552097,100.8274538
32,96.0,2561,คลองแสนแสบ,มีนบุรี  (รร.สตรีวิทยามีนบุรี),27.0,7.3,1.2,0.0,5.0,42.0,29.0,4.5,1.1,0.0,2.2,0.3,11000000.0,Minburi (Satri Witthaya Minburi School),Khlong Saen Saep,13.8552097,100.8274538
33,97.0,2561,คลองแสนแสบ,ปตร.แสนแสบ (ของกรมชลประทาน),27.0,7.3,2.0,0.0,4.0,40.0,37.0,2.8,0.3,0.0,2.5,0.3,40000.0,Saen Saep Police Station (of the Royal Irrigation Department),Khlong Saen Saep,13.8552097,100.8274538
34,98.0,2561,คลองแสนแสบ,สะพานประตูน้ำเวิลเทรดเซ็นเตอร์,28.0,7.4,1.0,0.0,6.0,57.0,30.0,4.5,1.1,0.01,1.1,0.4,9000000.0,Pratunam World Trade Center Bridge,Khlong Saen Saep,13.8552097,100.8274538
35,99.0,2561,คลองแสนแสบ,ถนนเลียบวารี,27.0,7.3,2.8,0.0,4.0,33.0,67.0,2.2,0.6,0.04,3.3,0.2,230000.0,Along Waree Road,Khlong Saen Saep,13.8552097,100.8274538
36,99.1,2561,คลองแสนแสบ,ถ.สังฆสันติสุข ซ.โรงเรียนสุเหร่าใหม่,27.0,7.4,2.3,0.0,4.0,30.0,93.0,2.8,0.6,0.01,1.7,0.1,210000.0,Sangkhasantisuk Rd. Soi New Mosque School,Khlong Saen Saep,13.8552097,100.8274538
37,101.0,2561,คลองตัน,ปตร. คลองตัน,30.0,7.7,0.0,0.3,20.0,66.0,19.0,17.9,11.8,0.01,1.5,1.1,2300000000.0,Khlong Tan Police Station,Khlong Tan,13.7254403,100.5717444
38,112.0,2561,คลองเปรมประชากร,สี่แยกสะพานแดง,29.0,7.4,0.0,0.3,11.0,41.0,11.0,7.8,2.2,0.0,1.5,0.8,9300000000.0,Saphan Daeng Intersection,Khlong Prem Prachakorn,,
39,113.0,2561,คลองเปรมประชากร,ตลาดบางซื่อ,29.0,7.4,0.0,0.2,11.0,54.0,8.0,7.8,2.2,0.0,1.5,0.9,24000000000.0,Bang Sue Market,Khlong Prem Prachakorn,,
40,114.0,2561,คลองเปรมประชากร,ทัณฑสถานวัยหนุ่ม (ถ.งามวงศ์วาน),29.0,7.4,0.0,1.5,26.0,89.0,26.0,14.6,5.6,0.01,2.8,1.3,46000000000.0,Youth Correctional Institution (Ngamwongwan Rd.),Khlong Prem Prachakorn,,
41,115.0,2561,คลองเปรมประชากร,เทศบาลสงเคราะห์(วัดเสมียนนารี),29.0,7.5,0.0,0.7,13.0,68.0,18.0,11.2,4.5,0.01,1.7,1.1,110000000000.0,Municipal Songkroh (Wat Samian Nari),Khlong Prem Prachakorn,,
42,116.0,2561,คลองเปรมประชากร,ถนนเศรษฐศิริ(สะพานเกษะโกมล),29.0,7.4,0.0,0.1,11.0,70.0,15.0,7.3,3.2,0.0,1.6,0.9,1100000000.0,Setthasiri Road (Kesakomol Bridge),Khlong Prem Prachakorn,,
43,117.0,2561,คลองเปรมประชากร,ถนนศรีอยุธยา(วัดเบญจมบพิตร),29.0,7.5,1.0,0.0,7.0,75.0,28.0,0.6,0.3,0.14,1.7,0.3,23000000.0,Sri Ayutthaya Road (Wat Benchamabophit),Khlong Prem Prachakorn,,
44,118.0,2561,คลองเปรมประชากร,ถนนแจ้งวัฒนะ,29.0,7.4,0.0,0.3,14.0,68.0,12.0,8.4,2.2,0.0,1.8,0.8,24000000000.0,Chaengwattana Road,Khlong Prem Prachakorn,,
45,119.0,2561,คลองเปรมประชากร,ถนนเตชะคุงคะ ใกล้ สน.ดอนเมือง,29.0,7.4,0.5,0.0,11.0,63.0,17.0,8.4,2.5,0.0,1.8,0.7,1100000000.0,"Techakungka Road, near Don Mueang Police Station",Khlong Prem Prachakorn,,
46,121.0,2561,คลองบางซื่อ,สะพานพิบูลย์สงคราม (ถ.ประชาราษฎร์ สาย 1),28.0,7.4,1.6,0.0,6.0,40.0,18.0,1.7,0.6,0.12,1.9,0.2,23000000.0,"Phibunsongkhram Bridge (Pracharat Road, Sai 1)",Khlong Bang Sue,13.799378204661000,100.5244983819410
47,122.0,2561,คลองบางซื่อ,ถนนพหลโยธิน,28.0,7.4,0.6,0.0,9.0,72.0,3.0,3.9,2.2,0.0,1.3,0.9,2300000000.0,Phahonyothin Road,Khlong Bang Sue,13.799378204661000,100.5244983819410
48,123.0,2561,คลองบางซื่อ,ถนนรัชดาภิเษก (รร.เจ้าพระยาปาร์ค),28.0,7.4,0.7,0.0,10.0,65.0,7.0,5.0,2.2,0.0,1.2,0.8,15000000000.0,Ratchadaphisek Road (Chao Phraya Park School),Khlong Bang Sue,13.799378204661000,100.5244983819410
49,131.0,2561,คลองสาธร,ปตร. สาธร,28.0,7.0,0.8,0.0,8.0,58.0,3.0,1.1,0.3,0.0,1.3,0.6,230000000000.0,Sathorn Police Station,Khlong Sathorn,,
50,132.0,2561,คลองสาธร,สถานทูตซาอุดิอาระเบีย,28.0,7.3,0.0,0.3,21.0,90.0,61.0,10.1,5.6,0.02,2.1,1.4,430000000000.0,Saudi Arabia Embassy,Khlong Sathorn,,
51,133.0,2561,คลองสาธร,ติดถนนพระราม 4 ใกล้สะพาน-เบลเยี่ยม,28.0,7.4,0.0,0.4,23.0,93.0,61.0,13.4,8.4,0.01,2.2,1.4,230000000000.0,"Next to Rama 4 Road, near the bridge - Belgium.",Khlong Sathorn,,
52,141.0,2561,คลองช่องนนทรี,ถนนนราธิวาสราชนครินทร์,28.0,7.3,1.1,0.0,6.0,43.0,10.0,1.1,0.6,0.11,1.8,0.4,930000000000.0,Narathiwat Ratchanakarin Road,Khlong Chong Nonsi,13.696360756157400,100.54536181474500
53,142.0,2561,คลองช่องนนทรี,ถนนนราธิวาสราชนครินทร์ตัดแยก ถ.จันทร์,28.0,7.4,0.7,0.0,9.0,72.0,13.0,0.6,0.0,0.1,1.2,0.5,2400000000000.0,Narathiwat Ratchanakarin Road intersects with Chan Road.,Khlong Chong Nonsi,13.696360756157400,100.54536181474500
54,143.0,2561,คลองช่องนนทรี,ก่อนแยกสาธร,28.0,7.4,1.1,0.0,7.0,66.0,14.0,1.2,0.8,0.12,1.2,0.5,46000000000.0,Before Sathorn Intersection,Khlong Chong Nonsi,13.696360756157400,100.54536181474500
55,144.0,2561,คลองช่องนนทรี,ตัดถนนสีลม,28.0,7.3,0.0,0.4,38.0,83.0,6.0,15.7,5.6,0.0,2.3,1.9,110000000000.0,Intersecting Silom Road,Khlong Chong Nonsi,13.696360756157400,100.54536181474500
56,145.0,2561,คลองช่องนนทรี,ตัดถนนสุรวงศ์,28.0,7.2,0.0,0.3,38.0,87.0,9.0,16.8,5.6,0.0,2.5,2.3,2400000000000.0,Surawong Road intersection,Khlong Chong Nonsi,13.696360756157400,100.54536181474500
57,146.0,2561,คลองช่องนนทรี,หน้าโรงงานควบคุมคุณภาพน้ำช่องนนทรี,28.0,7.3,1.4,0.0,5.0,40.0,26.0,6.2,2.2,0.09,1.9,0.5,2400000000000.0,In front of the Chong Nonsi Water Quality Control Factory,Khlong Chong Nonsi,13.696360756157400,100.54536181474500
58,151.0,2561,คลองบางไส้ไก่,ถนนเจริญนคร,27.0,7.0,0.0,1.5,29.0,83.0,18.0,15.1,9.8,0.02,2.2,1.9,15000000000000.0,Charoen Nakhon Road,Khlong Bang Sai Kai,13.71217573351530,100.49357100590900
59,152.0,2561,คลองบางไส้ไก่,ถนนตากสิน,27.0,7.0,0.0,1.5,32.0,92.0,25.0,12.9,5.6,0.03,2.1,1.7,460000000000000.0,Taksin Road,Khlong Bang Sai Kai,13.71217573351530,100.49357100590900
60,161.0,2561,คลองสมเด็จเจ้าพระยา,สะพานท่าดินแดง,27.0,7.1,0.0,1.0,27.0,87.0,24.0,11.2,5.6,0.01,2.2,1.7,1100000000000000.0,Tha Din Daeng Bridge,Somdej Chao Phraya Canal,,
61,162.0,2561,คลองสมเด็จเจ้าพระยา,หน้าโรงพยาบาลสมเด็จเจ้าพระยา,27.0,7.1,0.0,0.6,17.0,79.0,18.0,3.4,1.5,0.01,1.6,1.4,240000000000000.0,In front of Somdej Chao Phraya Hospital,Somdej Chao Phraya Canal,,
62,171.0,2561,คลองห้วยขวาง,ชุมชนห้วยขวาง,28.0,7.1,0.0,0.8,26.0,72.0,6.0,11.2,4.2,0.01,2.1,1.4,230000000000.0,Huai Khwang Community,Huai Khwang Canal,13.778045809063700,100.56635644127300
63,173.0,2561,คลองห้วยขวาง,ถนนสุทธิสารวินิจฉัย,28.0,7.3,0.0,0.4,23.0,70.0,5.0,8.4,4.5,0.01,2.2,1.4,430000000000.0,Sutthisan Winitchai Road,Huai Khwang Canal,13.778045809063700,100.56635644127300
64,174.0,2561,คลองห้วยขวาง,ถนนรัชดาภิเษก,28.0,7.4,0.0,0.4,20.0,83.0,16.0,9.0,3.2,0.02,2.1,1.3,930000000000.0,Ratchadaphisek Road,Huai Khwang Canal,13.778045809063700,100.56635644127300
65,175.0,2561,คลองห้วยขวาง,ถนนวัฒนธรรม ใกล้สถานฑูตเกาหลี,28.0,7.4,0.0,0.1,22.0,90.0,2.0,9.5,3.4,0.02,2.0,1.4,230000000000.0,Cultural Street near the Korean Embassy,Huai Khwang Canal,13.778045809063700,100.56635644127300
66,180.0,2561,คลองลาดพร้าว,สน.วังทองหลาง,29.0,7.2,0.0,0.3,19.0,72.0,88.0,11.8,3.1,0.0,2.1,0.9,1100000000.0,Wang Thonglang Police Station,Khlong Lat Phrao,13.817578021502100,100.58941839159900
67,181.0,2561,คลองลาดพร้าว,ถนนประชาอุทิศ,28.0,7.5,0.8,0.0,10.0,52.0,3.0,10.1,2.2,0.0,1.7,0.9,2400000000000.0,Pracha Uthit Road,Khlong Lat Phrao,13.817578021502100,100.58941839159900
68,182.0,2561,คลองลาดพร้าว,ร.ร.พิบูลย์อุปถัมภ์  (ถนนลาดพร้าว),28.0,7.5,0.8,0.0,10.0,55.0,8.0,8.4,3.2,0.0,1.4,1.2,4600000000000.0,Phibun Uppatham School  (Lat Phrao Road),Khlong Lat Phrao,13.817578021502100,100.58941839159900
69,183.0,2561,คลองลาดพร้าว,วัดบางบัว,28.0,7.4,1.3,0.0,15.0,58.0,35.0,4.5,1.8,0.01,1.4,0.6,2400000000000.0,Bang Bua Temple,Khlong Lat Phrao,13.817578021502100,100.58941839159900
70,184.0,2561,คลองลาดพร้าว,ถนนเกษตร - นวมินทร์,28.0,7.5,1.8,0.0,6.0,44.0,14.0,3.9,1.1,0.0,1.3,0.7,2400000000000.0,Kaset - Nawamin Road,Khlong Lat Phrao,13.817578021502100,100.58941839159900
71,191.0,2561,คลองบางน้ำชน,ถนนเจริญนคร,27.0,7.1,0.0,1.0,52.0,113.0,26.0,12.9,4.5,0.04,2.2,1.8,4600000000000.0,Charoen Nakhon Road,Khlong Bang Nam Chon,13.710222958472000,100.4821884007500
72,192.0,2561,คลองบางน้ำชน,ถนนพระเจ้าตากสิน,29.0,8.1,2.0,0.0,23.0,91.0,14.0,3.9,2.2,0.0,1.7,0.5,24000000000.0,Phra Chao Taksin Road,Khlong Bang Nam Chon,13.710222958472000,100.4821884007500
73,201.0,2561,คลองดาวคะนอง,ถนนเจริญนคร,28.0,7.1,1.9,0.0,5.0,61.0,6.0,3.9,1.2,0.27,1.7,0.3,460000.0,Charoen Nakhon Road,Khlong Dao Khanong,13.694913219781700,100.48624903825600
74,202.0,2561,คลองดาวคะนอง,ถ.พระเจ้าตากสิน หลังโรงเก็บขนมูลฝอย,28.0,7.2,1.5,0.0,5.0,64.0,7.0,1.7,0.6,0.48,1.8,0.2,1100000.0,Phrachao Taksin Rd. Behind the garbage storage shed,Khlong Dao Khanong,13.694913219781700,100.48624903825600
75,211.0,2561,คลองบางขุนเทียน,ท่าน้ำวัดบางขุนเทียนนอก(ถ.จอมทอง 19),29.0,7.4,1.1,0.0,5.0,41.0,11.0,1.7,0.6,0.01,1.7,0.5,1500000.0,Bang Khun Thian Nok Temple Pier (Chom Thong Road 19),Khlong Bang Khun Thian,13.677608458285300,100.46930991085700
76,212.0,2561,คลองบางขุนเทียน,ถนนพระรามที่ 2,29.0,7.4,2.1,0.0,7.0,28.0,15.0,1.7,0.6,0.0,1.7,0.6,4600000.0,Rama 2 Road,Khlong Bang Khun Thian,13.677608458285300,100.46930991085700
77,221.0,2561,คลองภาษีเจริญ,ร.ร.วัดรางบัว  (ถ.เพชรเกษม 33),29.0,7.2,2.8,0.0,5.0,57.0,6.0,3.9,1.2,0.02,1.8,0.3,9000000.0,Wat Rang Bua School (Phetkasem Road 33),Khlong Phasi Charoen,13.6813561,100.3504859
78,222.0,2561,คลองภาษีเจริญ,ถนนมาเจริญ  (ถนนเพชรเกษม 81),29.0,7.4,2.4,0.0,5.0,50.0,2.0,3.4,1.2,0.22,2.9,0.8,23000000.0,Macharoen Road (Petchkasem Road 81),Khlong Phasi Charoen,13.6813561,100.3504859
79,231.0,2561,คลองอ้อมนนท์,ท่าน้ำวัดโตนด,29.0,6.9,2.3,0.0,4.0,43.0,55.0,3.9,0.8,0.0,2.1,0.2,4000000.0,Wat Tanot Pier,Khlong Om Non,13.854617892362600,100.45276114784000
80,232.0,2561,คลองอ้อมนนท์,ท่าน้ำวัดประชารังสรรค์,29.0,7.1,2.5,0.0,5.0,40.0,46.0,3.4,1.2,0.13,2.4,0.2,23000000.0,Wat Pracharangsan pier,Khlong Om Non,13.854617892362600,100.45276114784000
81,241.0,2561,คลองบางละมุด,ตรงข้าม รร.เทคโนโลยีพระรามหก),29.0,6.7,0.4,0.0,4.0,32.0,8.0,7.3,4.5,0.0,1.0,0.6,210000000.0,Opposite Rama VI Technology School),Khlong Bang Lamut,,
82,251.0,2561,คลองมอญ,ถนนอรุณอัมรินทร์,29.0,7.1,2.6,0.0,5.0,45.0,23.0,2.2,1.7,0.1,2.0,0.2,210000000.0,Arun Amarin Road,Khlong Mon,13.799037246191000,100.50914062478400
83,252.0,2561,คลองมอญ,ถนนจรัญสนิทวงค์,29.0,7.4,2.7,0.0,6.0,56.0,24.0,2.2,1.7,0.08,1.9,0.2,1100000000.0,Charansanitwong Road,Khlong Mon,13.799037246191000,100.50914062478400
84,261.0,2561,คลองบางกอกน้อย,ถนนอรุณอัมรินทร์,29.0,7.5,2.6,0.0,4.0,49.0,40.0,1.1,0.6,0.03,2.0,0.2,280000.0,Arun Amarin Road,Bangkok Noi Canal,,
85,262.0,2561,คลองบางกอกน้อย,ท่าน้ำวัดสุวรรณาราม,29.0,7.5,2.8,0.0,4.0,47.0,43.0,1.1,0.6,0.03,2.0,0.2,1500000.0,Suwannaram Temple Pier,Bangkok Noi Canal,,
86,263.0,2561,คลองบางกอกน้อย,ทำน้ำวัดชลอ (ถ.บางกรวย-ไทรน้อย),29.0,7.3,1.2,0.0,4.0,52.0,37.0,2.8,1.2,0.36,2.2,0.3,150000000.0,Make water at Wat Chalo (Bang Kruai-Sai Noi Rd.),Bangkok Noi Canal,,
87,264.0,2561,คลองบางกอกน้อย,ซอยร่วมวงศ์พัฒนา (ถ.บางกรวย-ไทรน้อย),29.0,7.4,1.4,0.0,5.0,44.0,30.0,2.2,0.8,0.51,2.3,0.3,23000000.0,Soi Ruamwong Phatthana (Bang Kruai-Sai Noi Rd.),Bangkok Noi Canal,,
88,265.0,2561,คลองบางกอกน้อย,ท่าน้ำวัดอุทยาน (ถ.บางกรวย-จงถนอม),29.0,7.4,1.6,0.0,5.0,37.0,18.0,2.8,0.8,0.06,2.1,0.4,43000000.0,Wat Utthayan pier (Bang Kruai-Jongthanom Rd.),Bangkok Noi Canal,,
89,271.0,2561,คลองพระโขนง,ปตร. พระโขนง,30.0,7.7,0.5,0.0,11.0,45.0,10.0,10.6,9.0,0.01,1.5,1.1,23000000.0,Phra Khanong Police Station,Khlong Phra Khanong,13.709578208611000,100.59498384176700
90,272.0,2561,คลองพระโขนง,สะพานพระโขนง  (ถนนสุขุมวิท),30.0,7.7,0.3,0.0,9.0,58.0,8.0,6.7,3.2,0.0,1.5,1.0,43000000.0,Phra Khanong Bridge (Sukhumvit Road),Khlong Phra Khanong,13.709578208611000,100.59498384176700
91,281.0,2561,คลองบางนา,หน้ากรมอุตุนิยมวิทยา  (ถนนสุขุมวิท),28.0,5.8,0.0,1.3,14.0,61.0,18.0,13.4,5.6,0.01,2.7,1.4,110000000000.0,Meteorological Department page  (Sukhumvit Road),Khlong Bangna,13.8159523,100.381801
92,282.0,2561,คลองบางนา,สะพานบางนา  (ถนนศรีนครินทร์),28.0,7.6,0.0,1.2,16.0,73.0,19.0,9.5,4.5,0.01,2.8,1.3,930000000000.0,Bangna Bridge (Srinakarin Road),Khlong Bangna,13.8159523,100.381801
93,291.0,2561,คลองสำเหร่,ถนนเจริญนคร,27.0,7.1,0.0,0.8,22.0,72.0,12.0,9.5,3.1,0.02,1.9,1.5,43000000000000.0,Charoen Nakhon Road,Khlong Samre,13.71172054745850,100.48808564263300
94,292.0,2561,คลองสำเหร่,ถนนเทอดไทย,29.0,7.5,1.2,0.0,7.0,46.0,15.0,2.2,0.6,0.05,1.6,0.4,4600000.0,Theot Thai Road,Khlong Samre,13.71172054745850,100.48808564263300
95,301.0,2561,คลองไผ่สิงโต,ตลาดคลองเตย,28.0,7.1,0.0,1.1,56.0,116.0,20.0,22.4,14.0,0.0,2.4,2.2,1100000000000000.0,Khlong Toei Market,Khlong Phai Singto,13.733921061210800,100.55594437187600
96,303.0,2561,คลองไผ่สิงโต,ข้างโรงงานยาสูบ,28.0,7.2,0.0,0.8,35.0,95.0,12.0,15.1,1.9,0.0,1.9,1.8,1100000000000000.0,Next to the tobacco factory,Khlong Phai Singto,13.733921061210800,100.55594437187600
97,311.0,2561,คลองแจงร้อน,ถนนราษฎร์บูรณะ,28.0,7.2,0.6,0.0,17.0,81.0,14.0,7.8,2.5,0.0,1.5,1.1,110000000000.0,Ratburana Road,Khlong Chaeng Ron,13.671223508227200,100.52054626600700
98,312.0,2561,คลองแจงร้อน,ถนนสุขสวัสดิ์,28.0,7.3,0.0,0.5,14.0,66.0,13.0,8.4,3.1,0.0,1.5,1.2,110000000000.0,Suksawat Road,Khlong Chaeng Ron,13.671223508227200,100.52054626600700
99,321.0,2561,คลองราษฎร์บูรณะ,ถนนราษฎร์บูรณะ,28.0,7.4,2.0,0.0,8.0,46.0,6.0,2.2,0.9,0.4,2.0,0.2,43000000.0,Ratburana Road,Khlong Ratburana,,
100,322.0,2561,คลองราษฎร์บูรณะ,ถนนสุขสวัสดิ์,28.0,7.4,2.4,0.0,6.0,63.0,7.0,1.1,0.6,0.43,1.9,0.2,93000000.0,Suksawat Road,Khlong Ratburana,,
101,331.0,2561,คลองบางปะกอก,ถนนราษฎร์บูรณะ,28.0,7.2,0.0,0.3,16.0,66.0,12.0,9.5,4.5,0.01,1.5,0.8,110000000000.0,Ratburana Road,Bang Pakok Canal,,
102,332.0,2561,คลองบางปะกอก,ถนนสุขสวัสดิ์,28.0,7.2,0.0,0.4,16.0,66.0,12.0,6.2,4.5,0.01,1.6,0.9,110000000000.0,Suksawat Road,Bang Pakok Canal,,
